stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
1094F,,"VALIDA",,  50.866292,   4.303465,,,0
1095,,"PLACE DE L'EGLISE",,  50.861233,   4.292961,,,0
1096,,"BENES",,  50.864112,   4.312275,,,0
1097,,"BASTOGNE",,  50.861273,   4.315886,,,0
1098,,"SIPPELBERG",,  50.861842,   4.322192,,,0
1099,,"PARC MONNET",,  50.869995,   4.288174,,,0
1102,,"SEPT ETOILES",,  50.864680,   4.285470,,,0
1103,,"ANCIENNE BARRIERE",,  50.885545,   4.316271,,,0
1104,,"ANCIENNE BARRIERE",,  50.885221,   4.317579,,,0
1105,,"COMHAIRE",,  50.859968,   4.296401,,,0
1108,,"GOFFIN",,  50.866789,   4.309019,,,0
1109,,"ANCIENNE BARRIERE",,  50.885483,   4.316620,,,0
1110,,"VAN HAELEN",,  50.780214,   4.325869,,,0
1111,,"COLLEGE S.-COEUR",,  50.866675,   4.314886,,,0
1112,,"SIMONIS",,  50.862960,   4.330756,,,0
1113,,"ICHEC",,  50.838804,   4.408276,,,0
1114B,,"VANHUFFEL",,  50.860434,   4.331639,,,0
1115,,"AUTRIQUE",,  50.858770,   4.330078,,,0
1116,,"HUNDERENVELD",,  50.866817,   4.281688,,,0
1117,,"DELACROIX",,  50.845805,   4.323060,,,0
1121,,"BLOKKEN",,  50.921580,   4.428648,,,0
1124,,"TRONE",,  50.841633,   4.364862,,,0
1125,,"HOP. SAINT-PIERRE",,  50.834700,   4.346152,,,0
1126,,"JEU DE BALLE",,  50.837425,   4.349033,,,0
1127,,"CHAPELLE",,  50.841246,   4.351814,,,0
1128,,"PETIT SABLON",,  50.839898,   4.355875,,,0
1129,,"ROYALE",,  50.841426,   4.358345,,,0
1131B,,"LUXEMBOURG",,  50.839745,   4.373679,,,0
1132,,"TREVES",,  50.841004,   4.374318,,,0
1133,,"PARC LEOPOLD",,  50.840338,   4.378662,,,0
1134,,"NERVIENS",,  50.839295,   4.386655,,,0
1135,,"GAULOIS",,  50.838062,   4.392801,,,0
1136,,"MERODE",,  50.839211,   4.398523,,,0
1138,,"ZEPHYR",,  50.846790,   4.420892,,,0
1139,,"GEORGES HENRI",,  50.842148,   4.406718,,,0
1140,,"DEGROOFF",,  50.843639,   4.411958,,,0
1141,,"MEUDON",,  50.845057,   4.417284,,,0
1142,,"HUNDERENVELD",,  50.867240,   4.281502,,,0
1143,,"HANSSENSPARK",,  50.923717,   4.426355,,,0
1144,,"GARE CENTRALE",,  50.844980,   4.357027,,,0
1145,,"GARE DE L'OUEST",,  50.848351,   4.322094,,,0
1148C,,"SCHUMAN",,  50.841961,   4.383930,,,0
1150,,"ZEPHYR",,  50.847132,   4.421532,,,0
1152,,"MEUDON",,  50.844895,   4.416773,,,0
1153,,"DEGROOFF",,  50.843612,   4.411504,,,0
1154,,"GEORGES HENRI",,  50.841744,   4.406362,,,0
1156,,"MERODE",,  50.839607,   4.398226,,,0
1156T,,"MERODE",,  50.839535,   4.398732,,,0
1157,,"GAULOIS",,  50.838215,   4.392560,,,0
1158,,"NERVIENS",,  50.839573,   4.386044,,,0
1159,,"GAULOIS",,  50.838242,   4.392106,,,0
1162C,,"LUXEMBOURG",,  50.839431,   4.373380,,,0
1165,,"ROYALE",,  50.841543,   4.358345,,,0
1166,,"GRAND SABLON",,  50.841498,   4.354398,,,0
1167,,"CHAPELLE",,  50.840904,   4.350565,,,0
1168,,"JEU DE BALLE",,  50.837424,   4.346875,,,0
1169,,"PORTE DE HAL",,  50.834403,   4.343214,,,0
1172,,"LIBERTE",,  50.862688,   4.326239,,,0
1178,,"DELACROIX",,  50.845922,   4.323329,,,0
1179,,"AUTRIQUE",,  50.858860,   4.330205,,,0
1180,,"VANHUFFEL",,  50.860479,   4.331823,,,0
1182,,"SIPPELBERG",,  50.861968,   4.321936,,,0
1183,,"SIMONIS",,  50.863355,   4.330671,,,0
1184,,"LIBERTE",,  50.862752,   4.325697,,,0
1185,,"TREVES",,  50.842163,   4.373513,,,0
1190,,"COMHAIRE",,  50.860912,   4.296286,,,0
1193,,"SEPT ETOILES",,  50.865255,   4.284815,,,0
1194,,"HUNDERENVELD",,  50.866952,   4.281290,,,0
1195,,"HUNDERENVELD",,  50.866943,   4.281332,,,0
1196,,"PARC MONNET",,  50.869753,   4.288799,,,0
1197,,"BASTOGNE",,  50.861354,   4.316156,,,0
1198,,"BENES",,  50.864292,   4.312232,,,0
1199,,"GOFFIN",,  50.866834,   4.308323,,,0
1199F,,"GOFFIN",,  50.866834,   4.308323,,,0
1201,,"MOORTEBEEK",,  50.841803,   4.286873,,,0
1202,,"OSSEGHEM",,  50.856387,   4.326529,,,0
1203,,"WESTLAND SHOPPING",,  50.838026,   4.284196,,,0
1204,,"FRUITS",,  50.837374,   4.290288,,,0
1205,,"WILLEMYNS",,  50.839247,   4.296546,,,0
1206,,"PETERBOS",,  50.842438,   4.296200,,,0
1207,,"PAULSEN",,  50.843475,   4.300486,,,0
1208,,"HENRI REY",,  50.843505,   4.305655,,,0
1209,,"PLACE DE L'EGLISE",,  50.861772,   4.291597,,,0
1211B,,"JACQUES BREL",,  50.844652,   4.317623,,,0
1213,,"CHARLEMAGNE",,  50.843305,   4.379912,,,0
1215B,,"JOSEPH II",,  50.845968,   4.371762,,,0
1216,,"GUIMARD",,  50.843521,   4.371876,,,0
1217,,"BELLIARD",,  50.842083,   4.371308,,,0
1220,,"ALBERT",,  50.821161,   4.341972,,,0
1221,,"ALBERT",,  50.820955,   4.342058,,,0
1227,,"LEMONNIER",,  50.841082,   4.341251,,,0
1229,,"UNION",,  50.819628,   4.325398,,,0
1230,,"UNION",,  50.821157,   4.325978,,,0
1231,,"CHATAIGNES",,  50.817228,   4.325130,,,0
1232,,"CHATAIGNES",,  50.817291,   4.325499,,,0
1233,,"LUXEMBOURG",,  50.838999,   4.372401,,,0
1236,,"VALIDA",,  50.866256,   4.303181,,,0
1236F,,"VALIDA",,  50.866256,   4.303153,,,0
1237,,"ELEPHANT",,  50.851948,   4.332370,,,0
1239,,"ZAMAN-FOREST NAT.",,  50.814081,   4.324764,,,0
1240,,"ZAMAN-FOREST NAT.",,  50.814369,   4.325119,,,0
1242,,"ELEPHANT",,  50.851957,   4.333491,,,0
1244,,"GROENINGHE",,  50.854077,   4.328448,,,0
1245,,"TRIANGLE",,  50.850511,   4.336759,,,0
1250,,"HOUZEAU",,  50.803050,   4.358807,,,0
1251,,"HOUZEAU",,  50.803418,   4.358807,,,0
1252,,"STOCKEL",,  50.840876,   4.462652,,,0
1253B,,"JACQUES BREL",,  50.845021,   4.318403,,,0
1255,,"VETERANS COLON.",,  50.844066,   4.313506,,,0
1256,,"HENRI REY",,  50.843810,   4.305100,,,0
1257,,"PAULSEN",,  50.843753,   4.300032,,,0
1258,,"CARREFOUR STALLE",,  50.796730,   4.321064,,,0
1258G,,"CARREFOUR STALLE",,  50.796775,   4.321078,,,0
1259,,"WILLEMYNS",,  50.838123,   4.295951,,,0
